nearMiss_samples,total_accuracy,f1_scream,recall_scream,,,,,,,,,0.964,0.964,0.968,,0.962,0.963,0.971,,0.967,0.967,0.971,,0.972,0.972,0.98,,0.969,0.97,0.978,,0.965,0.965,0.976
77,0.967,0.967,0.976,,,,,,,,,0.848,0.846,0.841,,0.871,0.87,0.867,,0.883,0.882,0.872,,0.893,0.892,0.885,,0.894,0.894,0.891,,0.9,0.9,0.901
77,0.849,0.847,0.843,,,,,,,,,0.887,0.887,0.891,,0.894,0.893,0.889,,0.916,0.913,0.89,,0.919,0.916,0.888,,0.917,0.915,0.892,,0.913,0.91,0.885
77,0.885,0.885,0.889,,,,,,,,,0.881,0.884,0.906,,0.899,0.901,0.919,,0.908,0.909,0.921,,0.911,0.913,0.926,,0.91,0.912,0.926,,0.912,0.914,0.928
77,0.885,0.886,0.898,,,,,,,,,0.886,0.888,0.907,,0.895,0.895,0.903,,0.906,0.908,0.923,,0.911,0.912,0.921,,0.908,0.909,0.919,,0.911,0.912,0.922
77,0.881,0.883,0.897,,,,,,,,,0.693,0.764,0.994,,0.703,0.771,0.998,,0.718,0.78,0.998,,0.733,0.79,0.999,,0.738,0.793,1,,0.743,0.796,1
77,0.696,0.766,0.994,,,,,,,,,0.915,0.915,0.92,,0.929,0.929,0.93,,0.938,0.938,0.934,,0.941,0.941,0.935,,0.947,0.947,0.942,,0.946,0.945,0.938
77,0.914,0.914,0.919,,,,,,,,,0.859,0.858,0.856,,0.873,0.873,0.874,,0.877,0.876,0.871,,0.889,0.888,0.883,,0.887,0.887,0.883,,0.883,0.882,0.876
77,0.854,0.852,0.846,,,,,,,,,0.882,0.882,0.879,,0.899,0.897,0.888,,0.903,0.903,0.899,,0.919,0.919,0.912,,0.917,0.916,0.906,,0.92,0.919,0.905
77,0.879,0.877,0.871,,,,,,,,,0.846,0.846,0.849,,0.857,0.858,0.869,,0.877,0.877,0.878,,0.862,0.865,0.878,,0.864,0.864,0.868,,0.87,0.87,0.874
77,0.846,0.847,0.854,,,,,,,,,0.892,0.893,0.903,,0.91,0.91,0.913,,0.913,0.913,0.913,,0.922,0.922,0.922,,0.929,0.929,0.927,,0.925,0.925,0.924
77,0.89,0.891,0.902,,,,,,,,,0.908,0.908,0.914,,0.924,0.924,0.927,,0.934,0.934,0.931,,0.936,0.936,0.931,,0.945,0.944,0.938,,0.943,0.943,0.939
77,0.909,0.909,0.916,,,,,,,,,0.872,0.878,0.902,,0.885,0.89,0.912,,0.895,0.9,0.917,,0.901,0.905,0.922,,0.902,0.907,0.923,,0.903,0.907,0.922
77,0.964,0.964,0.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.848,0.846,0.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.887,0.887,0.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.881,0.884,0.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.886,0.888,0.907,,,nearMiss_samples,total_accuracy,f1_scream,recall_scream,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.693,0.764,0.994,,,77,0.872,0.878,0.902,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.915,0.915,0.92,,,36,0.885,0.89,0.912,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.859,0.858,0.856,,,18,0.895,0.9,0.917,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.882,0.882,0.879,,,9,0.901,0.905,0.922,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.846,0.846,0.849,,,4,0.902,0.907,0.923,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.892,0.893,0.903,,,2,0.903,0.907,0.922,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.908,0.908,0.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.962,0.963,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.871,0.87,0.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.894,0.893,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.899,0.901,0.919,,,,,,,,,,nearMiss_samples,total_accuracy,f1_scream,recall_scream,,,,,,,,,,,,,,,,,,
36,0.895,0.895,0.903,,,,,,,,,,77,0.970928385,0.970967799,0.973535213,,,,,,,,,,,,,,,,,,
36,0.703,0.771,0.998,,,,,,,,,,36,0.966341471,0.966671721,0.975054793,,,,,,,,,,,,,,,,,,
36,0.929,0.929,0.93,,,,,,,,,,18,0.968279175,0.968506328,0.973421975,,,,,,,,,,,,,,,,,,
36,0.873,0.873,0.874,,,,,,,,,,9,0.967955087,0.968249375,0.975357978,,,,,,,,,,,,,,,,,,
36,0.899,0.897,0.888,,,,,,,,,,4,0.967187992,0.967443171,0.971712449,,,,,,,,,,,,,,,,,,
36,0.857,0.858,0.869,,,,,,,,,,2,0.968253667,0.968492024,0.975668469,,,,,,,,,,,,,,,,,,
36,0.91,0.91,0.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.924,0.924,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.967,0.967,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.883,0.882,0.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.916,0.913,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.908,0.909,0.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.906,0.908,0.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.718,0.78,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.938,0.938,0.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.877,0.876,0.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.903,0.903,0.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.877,0.877,0.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.913,0.913,0.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.934,0.934,0.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.972,0.972,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.893,0.892,0.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.919,0.916,0.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.911,0.913,0.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.911,0.912,0.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.733,0.79,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.941,0.941,0.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.889,0.888,0.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.919,0.919,0.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.862,0.865,0.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.922,0.922,0.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.936,0.936,0.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.969,0.97,0.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.894,0.894,0.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.917,0.915,0.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.91,0.912,0.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.908,0.909,0.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.738,0.793,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.947,0.947,0.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.887,0.887,0.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.917,0.916,0.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.864,0.864,0.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.929,0.929,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.945,0.944,0.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.965,0.965,0.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.9,0.9,0.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.913,0.91,0.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.912,0.914,0.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.911,0.912,0.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.743,0.796,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.946,0.945,0.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.883,0.882,0.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.92,0.919,0.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.87,0.87,0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.925,0.925,0.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.943,0.943,0.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
