total_accuracy,f1_sniff,recall_sniff,clf_label,total_samples,positives,negatives,nearMiss_ratio,nearMiss_samples,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info,userInput
0.7145833333333333,0.7019642857142856,0.7291666666666666,sniff,38,19,19,1,0,26,0.2,5,5,5,20,Id3Estimator,None,experiment_3_date_2019-09-18
0.8,0.8291369047619047,0.9416666666666667,sniff,38,19,19,1,0,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_3_date_2019-09-18
0.8812500000000001,0.8858928571428571,0.9125,sniff,38,19,19,1,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.5729166666666666,0.392797619047619,0.45833333333333326,sniff,38,19,19,1,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.8125,0.8270535714285714,0.8916666666666666,sniff,38,19,19,1,0,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_3_date_2019-09-18
0.7479166666666667,0.7439583333333334,0.7666666666666666,sniff,38,19,19,1,0,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_3_date_2019-09-18
0.7416666666666667,0.7249404761904762,0.7124999999999999,sniff,38,19,19,1,0,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_3_date_2019-09-18
0.8708333333333333,0.8476190476190476,0.8,sniff,38,19,19,1,0,26,0.2,5,5,5,20,GaussianNB,None,experiment_3_date_2019-09-18
0.7291666666666667,0.7159226190476191,0.7250000000000001,sniff,38,19,19,1,0,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_3_date_2019-09-18
0.8875000000000001,0.8990178571428571,0.9541666666666666,sniff,38,19,19,1,0,26,0.2,5,5,5,20,MLPClassifier,None,experiment_3_date_2019-09-18
0.9208333333333333,0.9339285714285714,1.0,sniff,38,19,19,2,0,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_3_date_2019-09-18
0.8041666666666667,0.7886309523809524,0.8041666666666667,sniff,38,19,19,2,0,26,0.2,5,5,5,20,Id3Estimator,None,experiment_3_date_2019-09-18
0.8375,0.8671428571428572,0.9875,sniff,38,19,19,2,0,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_3_date_2019-09-18
0.8562500000000001,0.8682142857142856,0.9208333333333333,sniff,38,19,19,2,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.5520833333333334,0.23124999999999998,0.25,sniff,38,19,19,2,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.8645833333333334,0.8686309523809523,0.9166666666666667,sniff,38,19,19,2,0,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_3_date_2019-09-18
0.7020833333333333,0.6993750000000001,0.7208333333333332,sniff,38,19,19,2,0,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_3_date_2019-09-18
0.7791666666666667,0.7325595238095237,0.7333333333333333,sniff,38,19,19,2,0,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_3_date_2019-09-18
0.8625,0.8266369047619049,0.7916666666666666,sniff,38,19,19,2,0,26,0.2,5,5,5,20,GaussianNB,None,experiment_3_date_2019-09-18
0.8270833333333334,0.8263988095238095,0.85,sniff,38,19,19,2,0,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_3_date_2019-09-18
0.86875,0.8778273809523809,0.9166666666666665,sniff,38,19,19,2,0,26,0.2,5,5,5,20,MLPClassifier,None,experiment_3_date_2019-09-18
0.90625,0.9232142857142857,1.0,sniff,38,19,19,10,0,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_3_date_2019-09-18
0.7479166666666667,0.7458035714285715,0.7791666666666666,sniff,38,19,19,10,0,26,0.2,5,5,5,20,Id3Estimator,None,experiment_3_date_2019-09-18
0.8500000000000001,0.8821428571428571,1.0,sniff,38,19,19,10,0,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_3_date_2019-09-18
0.8187500000000001,0.8422916666666668,0.925,sniff,38,19,19,10,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.5791666666666666,0.4557142857142856,0.5625,sniff,38,19,19,10,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.8770833333333334,0.8858333333333333,0.9458333333333333,sniff,38,19,19,10,0,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_3_date_2019-09-18
0.7041666666666666,0.6830952380952381,0.6958333333333332,sniff,38,19,19,10,0,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_3_date_2019-09-18
0.79375,0.7583035714285713,0.7625,sniff,38,19,19,10,0,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_3_date_2019-09-18
0.8562500000000001,0.8328869047619047,0.8,sniff,38,19,19,10,0,26,0.2,5,5,5,20,GaussianNB,None,experiment_3_date_2019-09-18
0.78125,0.7745238095238096,0.8041666666666666,sniff,38,19,19,10,0,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_3_date_2019-09-18
0.80625,0.8091964285714285,0.8708333333333333,sniff,38,19,19,10,0,26,0.2,5,5,5,20,MLPClassifier,None,experiment_3_date_2019-09-18
0.875,0.8969047619047619,0.9958333333333333,sniff,38,19,19,20,0,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_3_date_2019-09-18
0.7375,0.7275,0.7499999999999999,sniff,38,19,19,20,0,26,0.2,5,5,5,20,Id3Estimator,None,experiment_3_date_2019-09-18
0.7749999999999999,0.800625,0.8833333333333333,sniff,38,19,19,20,0,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_3_date_2019-09-18
0.84375,0.8638095238095238,0.95,sniff,38,19,19,20,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.5333333333333332,0.43229166666666663,0.6000000000000001,sniff,38,19,19,20,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.8354166666666667,0.8406547619047617,0.8666666666666666,sniff,38,19,19,20,0,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_3_date_2019-09-18
0.6791666666666667,0.6741369047619048,0.6916666666666667,sniff,38,19,19,20,0,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_3_date_2019-09-18
0.7708333333333334,0.739702380952381,0.7166666666666667,sniff,38,19,19,20,0,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_3_date_2019-09-18
0.8666666666666667,0.8436904761904762,0.8208333333333333,sniff,38,19,19,20,0,26,0.2,5,5,5,20,GaussianNB,None,experiment_3_date_2019-09-18
0.74375,0.7458035714285715,0.7708333333333333,sniff,38,19,19,20,0,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_3_date_2019-09-18
0.8416666666666667,0.854047619047619,0.9041666666666666,sniff,38,19,19,20,0,26,0.2,5,5,5,20,MLPClassifier,None,experiment_3_date_2019-09-18
0.8791666666666667,0.901517857142857,0.9958333333333333,sniff,38,19,19,40,0,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_3_date_2019-09-18
0.7250000000000001,0.7168749999999999,0.7291666666666666,sniff,38,19,19,40,0,26,0.2,5,5,5,20,Id3Estimator,None,experiment_3_date_2019-09-18
0.8500000000000001,0.8729761904761906,0.9750000000000001,sniff,38,19,19,40,0,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_3_date_2019-09-18
0.8520833333333334,0.8519345238095237,0.8833333333333333,sniff,38,19,19,40,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.5770833333333333,0.3252083333333333,0.3541666666666667,sniff,38,19,19,40,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.8270833333333333,0.8460119047619046,0.9125,sniff,38,19,19,40,0,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_3_date_2019-09-18
0.66875,0.6317857142857142,0.6499999999999999,sniff,38,19,19,40,0,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_3_date_2019-09-18
0.7729166666666667,0.750922619047619,0.7458333333333332,sniff,38,19,19,40,0,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_3_date_2019-09-18
0.8208333333333333,0.8073214285714285,0.7958333333333334,sniff,38,19,19,40,0,26,0.2,5,5,5,20,GaussianNB,None,experiment_3_date_2019-09-18
0.7854166666666667,0.7884226190476191,0.8333333333333333,sniff,38,19,19,40,0,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_3_date_2019-09-18
0.83125,0.838452380952381,0.8958333333333333,sniff,38,19,19,40,0,26,0.2,5,5,5,20,MLPClassifier,None,experiment_3_date_2019-09-18
0.9416666666666668,0.9508928571428572,1.0,sniff,38,19,19,60,0,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_3_date_2019-09-18
0.7395833333333333,0.7507142857142858,0.7958333333333333,sniff,38,19,19,60,0,26,0.2,5,5,5,20,Id3Estimator,None,experiment_3_date_2019-09-18
0.81875,0.8472619047619048,0.9500000000000001,sniff,38,19,19,60,0,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_3_date_2019-09-18
0.8166666666666667,0.8258035714285714,0.8791666666666667,sniff,38,19,19,60,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.5583333333333333,0.43625,0.5416666666666666,sniff,38,19,19,60,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.8395833333333333,0.860625,0.9416666666666665,sniff,38,19,19,60,0,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_3_date_2019-09-18
0.7104166666666667,0.7129761904761904,0.75,sniff,38,19,19,60,0,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_3_date_2019-09-18
0.75,0.7168154761904761,0.7083333333333333,sniff,38,19,19,60,0,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_3_date_2019-09-18
0.8541666666666667,0.823392857142857,0.7791666666666666,sniff,38,19,19,60,0,26,0.2,5,5,5,20,GaussianNB,None,experiment_3_date_2019-09-18
0.7479166666666667,0.7485119047619048,0.7833333333333332,sniff,38,19,19,60,0,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_3_date_2019-09-18
0.8562500000000001,0.8608630952380951,0.9083333333333333,sniff,38,19,19,60,0,26,0.2,5,5,5,20,MLPClassifier,None,experiment_3_date_2019-09-18
0.8520833333333334,0.8670535714285715,0.9291666666666666,sniff,38,19,19,1,19,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.6395833333333333,0.5997619047619048,0.6166666666666667,sniff,38,19,19,1,19,26,0.2,5,5,5,20,Id3Estimator,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7020833333333333,0.7342857142857143,0.8208333333333333,sniff,38,19,19,1,19,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7145833333333333,0.7233928571428571,0.7916666666666666,sniff,38,19,19,1,19,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.5791666666666666,0.30041666666666667,0.2916666666666667,sniff,38,19,19,1,19,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.675,0.7040178571428573,0.7999999999999998,sniff,38,19,19,1,19,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.6020833333333333,0.5840773809523809,0.6166666666666666,sniff,38,19,19,1,19,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.6416666666666667,0.5738690476190476,0.5375,sniff,38,19,19,1,19,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7541666666666667,0.7254761904761905,0.7416666666666667,sniff,38,19,19,1,19,26,0.2,5,5,5,20,GaussianNB,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.71875,0.7158630952380952,0.7375,sniff,38,19,19,1,19,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.71875,0.7160714285714285,0.7458333333333333,sniff,38,19,19,1,19,26,0.2,5,5,5,20,MLPClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.9041666666666668,0.9104464285714287,0.95,sniff,38,19,19,2,9,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7479166666666667,0.7369345238095238,0.7416666666666666,sniff,38,19,19,2,9,26,0.2,5,5,5,20,Id3Estimator,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7333333333333333,0.7615178571428571,0.8416666666666666,sniff,38,19,19,2,9,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7854166666666667,0.7776488095238095,0.8083333333333333,sniff,38,19,19,2,9,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.5770833333333333,0.24270833333333333,0.21666666666666667,sniff,38,19,19,2,9,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.79375,0.7881547619047619,0.825,sniff,38,19,19,2,9,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.6666666666666667,0.6204464285714286,0.6333333333333333,sniff,38,19,19,2,9,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.6854166666666667,0.6375297619047618,0.625,sniff,38,19,19,2,9,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.8,0.7857142857142858,0.7916666666666665,sniff,38,19,19,2,9,26,0.2,5,5,5,20,GaussianNB,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.6979166666666667,0.6907142857142856,0.7208333333333332,sniff,38,19,19,2,9,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7666666666666667,0.7685416666666667,0.8083333333333332,sniff,38,19,19,2,9,26,0.2,5,5,5,20,MLPClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.8729166666666667,0.8917559523809524,0.9624999999999999,sniff,38,19,19,4,4,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7791666666666667,0.7767261904761904,0.8041666666666666,sniff,38,19,19,4,4,26,0.2,5,5,5,20,Id3Estimator,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.75625,0.8049107142857141,0.95,sniff,38,19,19,4,4,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7479166666666667,0.7660714285714286,0.8416666666666667,sniff,38,19,19,4,4,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.5583333333333333,0.30000000000000004,0.3208333333333334,sniff,38,19,19,4,4,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7875000000000001,0.7941964285714286,0.8458333333333332,sniff,38,19,19,4,4,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7270833333333334,0.726845238095238,0.7666666666666666,sniff,38,19,19,4,4,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7749999999999999,0.749077380952381,0.7541666666666667,sniff,38,19,19,4,4,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.8500000000000001,0.8308928571428571,0.8125,sniff,38,19,19,4,4,26,0.2,5,5,5,20,GaussianNB,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7437499999999999,0.7252083333333333,0.7458333333333331,sniff,38,19,19,4,4,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.8166666666666667,0.8338095238095239,0.8999999999999999,sniff,38,19,19,4,4,26,0.2,5,5,5,20,MLPClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.8166666666666667,0.8231845238095238,0.8958333333333333,sniff,38,19,19,6,3,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7625000000000002,0.7523809523809524,0.7625,sniff,38,19,19,6,3,26,0.2,5,5,5,20,Id3Estimator,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7208333333333333,0.7637797619047619,0.8916666666666666,sniff,38,19,19,6,3,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.8041666666666667,0.8210714285714285,0.9041666666666666,sniff,38,19,19,6,3,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.5562499999999999,0.25,0.25416666666666665,sniff,38,19,19,6,3,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.8729166666666667,0.8849702380952381,0.9374999999999999,sniff,38,19,19,6,3,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7166666666666666,0.6817857142857143,0.7124999999999999,sniff,38,19,19,6,3,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7854166666666667,0.7634821428571428,0.7541666666666667,sniff,38,19,19,6,3,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.8520833333333334,0.8363095238095238,0.8291666666666667,sniff,38,19,19,6,3,26,0.2,5,5,5,20,GaussianNB,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7604166666666667,0.7694940476190477,0.8208333333333333,sniff,38,19,19,6,3,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.8166666666666667,0.8293750000000001,0.8916666666666667,sniff,38,19,19,6,3,26,0.2,5,5,5,20,MLPClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.9000000000000001,0.9166964285714286,0.9958333333333333,sniff,38,19,19,8,2,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7374999999999999,0.730297619047619,0.7625,sniff,38,19,19,8,2,26,0.2,5,5,5,20,Id3Estimator,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7791666666666667,0.8059821428571428,0.8916666666666666,sniff,38,19,19,8,2,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.8500000000000001,0.8709821428571429,0.9541666666666666,sniff,38,19,19,8,2,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.5625,0.19279761904761905,0.15833333333333335,sniff,38,19,19,8,2,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.8020833333333335,0.8058928571428572,0.8583333333333334,sniff,38,19,19,8,2,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7374999999999999,0.73,0.7458333333333333,sniff,38,19,19,8,2,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.7437499999999999,0.7127380952380953,0.7125,sniff,38,19,19,8,2,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.83125,0.8000297619047619,0.8125,sniff,38,19,19,8,2,26,0.2,5,5,5,20,GaussianNB,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.6875,0.6810416666666667,0.7041666666666666,sniff,38,19,19,8,2,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
0.8437500000000001,0.848422619047619,0.8833333333333333,sniff,38,19,19,8,2,26,0.2,5,5,5,20,MLPClassifier,None,experiment_3_date_2019-09-20_IGNORE_RESULT-FIXING_BUG
