total_accuracy,f1_whisper,recall_whisper,clf_label,total_samples,positives,negatives,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info
0.8786805555555557,0.8905222555222554,0.9524999999999999,whisper,54,27,27,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_5_date_2019-09-18
0.7180555555555556,0.7231746725496726,0.750625,whisper,54,27,27,26,0.2,5,5,5,20,Id3Estimator,None,experiment_5_date_2019-09-18
0.7112847222222223,0.7395134032634033,0.838125,whisper,54,27,27,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_5_date_2019-09-18
0.712951388888889,0.7317343073593073,0.783125,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_5_date_2019-09-18
0.5337847222222222,0.21030802530802528,0.271875,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_5_date_2019-09-18
0.7557638888888889,0.7649754412254413,0.8162499999999999,whisper,54,27,27,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_5_date_2019-09-18
0.7467013888888889,0.7535463841713842,0.786875,whisper,54,27,27,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_5_date_2019-09-18
0.7714930555555557,0.7517938311688311,0.7375,whisper,54,27,27,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_5_date_2019-09-18
0.7566319444444445,0.7648806055056055,0.8012499999999999,whisper,54,27,27,26,0.2,5,5,5,20,GaussianNB,None,experiment_5_date_2019-09-18
0.7347222222222223,0.7335508935508935,0.764375,whisper,54,27,27,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_5_date_2019-09-18
0.7773958333333333,0.7789502164502166,0.7962499999999999,whisper,54,27,27,26,0.2,5,5,5,20,MLPClassifier,None,experiment_5_date_2019-09-18
0.5454545454545454,0.7058823529411764,1.0,whisper,54,27,27,21,0.2,5,5,5,15,Sequential,model_layers=5
0.8134374999999999,0.8068253968253969,0.811875,whisper,54,27,27,21,0.2,5,5,5,15,Sequential,model_layers=5,experiment_5_date_2019-09-18
0.8882986111111111,0.896061507936508,0.9393750000000001,whisper,54,27,27,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_5_date_2019-09-18
0.7295138888888888,0.7382806082806084,0.7662499999999999,whisper,54,27,27,26,0.2,5,5,5,20,Id3Estimator,None,experiment_5_date_2019-09-18
0.7446875,0.7735676823176822,0.880625,whisper,54,27,27,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_5_date_2019-09-18
0.7065972222222223,0.727504786879787,0.815625,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_5_date_2019-09-18
0.5097222222222222,0.35799908424908417,0.508125,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_5_date_2019-09-18
0.8460069444444445,0.8445806277056276,0.8524999999999999,whisper,54,27,27,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_5_date_2019-09-18
0.6967013888888889,0.6866052003552003,0.7162499999999999,whisper,54,27,27,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_5_date_2019-09-18
0.7477430555555555,0.7147718253968254,0.6975,whisper,54,27,27,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_5_date_2019-09-18
0.7854861111111111,0.7787779581529581,0.7899999999999999,whisper,54,27,27,26,0.2,5,5,5,20,GaussianNB,None,experiment_5_date_2019-09-18
0.7890625,0.7707654845154845,0.7843749999999999,whisper,54,27,27,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_5_date_2019-09-18
0.7997916666666667,0.798166971916972,0.819375,whisper,54,27,27,26,0.2,5,5,5,20,MLPClassifier,None,experiment_5_date_2019-09-18
0.7915277777777777,0.7654888167388167,0.72375,whisper,54,27,27,21,0.2,5,5,5,15,Sequential,model_layers=5,experiment_5_date_2019-09-18
0.9227083333333335,0.9242866161616161,0.9481249999999999,whisper,54,27,27,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-18
0.8946527777777777,0.9009604978354979,0.936875,whisper,54,27,27,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-18
0.9113541666666668,0.9142424242424242,0.9450000000000001,whisper,54,27,27,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-18
0.8937152777777777,0.9039871933621935,0.963125,whisper,54,27,27,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-18
0.8808333333333334,0.8901660145410146,0.9425,whisper,54,27,27,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-18
0.7171875000000001,0.6946212121212122,0.713125,whisper,54,27,27,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-18
0.6848263888888889,0.6758919552669553,0.6793750000000001,whisper,54,27,27,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-18
0.7414583333333332,0.7518115218115218,0.794375,whisper,54,27,27,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-18
0.6645833333333333,0.6493109668109669,0.674375,whisper,54,27,27,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-18
0.6388888888888888,0.6344751082251082,0.6693749999999999,whisper,54,27,27,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-18
0.7422916666666666,0.7763539932289931,0.885,whisper,54,27,27,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-18
0.7056250000000001,0.730473692973693,0.8,whisper,54,27,27,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-18
0.7160069444444443,0.7561720917970918,0.8949999999999999,whisper,54,27,27,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-18
0.7585763888888888,0.7678751803751804,0.8231249999999999,whisper,54,27,27,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-18
0.7414236111111112,0.7824738455988456,0.9024999999999999,whisper,54,27,27,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-18
0.8074652777777779,0.8180853174603175,0.865,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.7333680555555555,0.7555873293373293,0.826875,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.7579166666666667,0.7607788045288045,0.798125,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.7648958333333333,0.7871075452325452,0.8875000000000001,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.7342013888888889,0.7590517815517815,0.835,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.5263888888888888,0.3473214285714285,0.46312500000000006,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.5240277777777778,0.3615040515040515,0.505,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.5203125,0.38832521645021645,0.555,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.5097222222222222,0.22703296703296702,0.32625000000000004,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.5097222222222222,0.328003663003663,0.46187500000000004,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.7816319444444444,0.7907187950937951,0.84625,whisper,54,27,27,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.7800694444444445,0.795481671106671,0.865,whisper,54,27,27,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.779513888888889,0.7921968309468308,0.84625,whisper,54,27,27,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.8291666666666667,0.8350221306471306,0.86625,whisper,54,27,27,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.7575694444444445,0.7792672605172605,0.83875,whisper,54,27,27,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.7195138888888889,0.7203643578643578,0.739375,whisper,54,27,27,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.6957638888888888,0.6981985375735376,0.7275,whisper,54,27,27,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.7011458333333334,0.6987640831390831,0.7237500000000001,whisper,54,27,27,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.7228124999999999,0.7235038572538574,0.748125,whisper,54,27,27,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.7118055555555555,0.7087898906648907,0.7281249999999999,whisper,54,27,27,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.7405555555555555,0.7016603535353536,0.6774999999999999,whisper,54,27,27,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-18
0.7259027777777778,0.70565386002886,0.6799999999999999,whisper,54,27,27,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-18
0.7315972222222222,0.7011489898989899,0.681875,whisper,54,27,27,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-18
0.7439930555555556,0.7150775613275614,0.7024999999999999,whisper,54,27,27,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-18
0.7259027777777778,0.7006980519480519,0.67375,whisper,54,27,27,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-18
0.7682291666666667,0.7589366883116884,0.7793749999999999,whisper,54,27,27,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-18
0.7814236111111111,0.7814024170274171,0.8018749999999999,whisper,54,27,27,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-18
0.763125,0.765753552003552,0.788125,whisper,54,27,27,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-18
0.7727083333333333,0.7793624431124432,0.8006249999999999,whisper,54,27,27,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-18
0.7548263888888889,0.7567266761016761,0.7925,whisper,54,27,27,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-18
0.7547222222222222,0.759087370962371,0.78375,whisper,54,27,27,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-18
0.7796527777777778,0.7698579892329892,0.7762499999999999,whisper,54,27,27,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-18
0.7615972222222224,0.7579863192363192,0.7818749999999999,whisper,54,27,27,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-18
0.7330555555555556,0.7300379481629482,0.7481249999999999,whisper,54,27,27,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-18
0.7288888888888889,0.7329081335331333,0.7775,whisper,54,27,27,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-18
0.8139930555555556,0.8098710317460317,0.8356249999999998,whisper,54,27,27,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-18
0.7681250000000001,0.7762748362748362,0.8174999999999999,whisper,54,27,27,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-18
0.7809375,0.787339257964258,0.8206249999999999,whisper,54,27,27,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-18
0.774826388888889,0.783943487068487,0.816875,whisper,54,27,27,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-18
0.7748611111111111,0.7854996392496392,0.839375,whisper,54,27,27,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-18
0.45454545454545453,0.625,1.0,whisper,54,27,27,26,0.2,5,5,5,20,Sequential,model_layers=5
0.8510416666666667,0.867028318903319,0.91875,whisper,54,27,27,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-19
0.8573611111111112,0.8705830974580975,0.9175,whisper,54,27,27,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-19
0.8343055555555555,0.8512203074703075,0.911875,whisper,54,27,27,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-19
0.8780208333333333,0.889905858030858,0.9318749999999999,whisper,54,27,27,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-19
0.8789236111111112,0.8908991702741703,0.9493750000000001,whisper,54,27,27,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-19
0.6094097222222222,0.6159410728160728,0.643125,whisper,54,27,27,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-19
0.6434375000000001,0.6456715506715507,0.6718749999999999,whisper,54,27,27,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-19
0.6054166666666667,0.593957917082917,0.624375,whisper,54,27,27,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-19
0.6119097222222222,0.6175636169386169,0.653125,whisper,54,27,27,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-19
0.630625,0.6327308802308802,0.66125,whisper,54,27,27,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-19
0.6669791666666667,0.7337552031302031,0.8968749999999999,whisper,54,27,27,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-19
0.672048611111111,0.736276085026085,0.90375,whisper,54,27,27,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-19
0.6715972222222223,0.7373233710733711,0.9012499999999999,whisper,54,27,27,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-19
0.6944791666666666,0.7524438061938061,0.8975,whisper,54,27,27,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-19
0.6381597222222222,0.7156574675324675,0.8781249999999999,whisper,54,27,27,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-19
0.7171874999999999,0.7405058136308137,0.8231249999999999,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.7184375000000001,0.749268648018648,0.8331249999999999,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.6982291666666667,0.7364694333444334,0.821875,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.7329166666666668,0.7552412864912864,0.8231250000000001,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.7035069444444444,0.7376966089466089,0.819375,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.5189583333333334,0.631574259074259,0.9125000000000001,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.5480902777777777,0.6893439893439892,0.99,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.5190972222222222,0.6139204545454544,0.8775,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.5114930555555556,0.5902191558441559,0.85,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.5360069444444444,0.6515151515151514,0.9175,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.6908680555555555,0.728932733932734,0.8256249999999999,whisper,54,27,27,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-19
0.6705555555555556,0.724616563991564,0.8425,whisper,54,27,27,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-19
0.7372222222222222,0.7611571067821068,0.8225,whisper,54,27,27,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-19
0.6498611111111111,0.707955377955378,0.840625,whisper,54,27,27,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-19
0.7362500000000001,0.7624256993006993,0.8412499999999999,whisper,54,27,27,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-19
0.6388888888888888,0.6407039488289489,0.6737500000000001,whisper,54,27,27,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-19
0.6235416666666667,0.6223878205128205,0.640625,whisper,54,27,27,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-19
0.631736111111111,0.6350912975912976,0.648125,whisper,54,27,27,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-19
0.6451041666666667,0.6336548867798868,0.6512499999999999,whisper,54,27,27,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-19
0.5784374999999999,0.5839152514152514,0.625,whisper,54,27,27,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-19
0.6275347222222222,0.5975870657120657,0.5974999999999999,whisper,54,27,27,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-19
0.6932638888888889,0.6709632034632035,0.644375,whisper,54,27,27,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-19
0.656875,0.6438645382395383,0.648125,whisper,54,27,27,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-19
0.6394097222222223,0.6128223859473859,0.5918749999999999,whisper,54,27,27,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-19
0.6744444444444443,0.6529302641802641,0.63625,whisper,54,27,27,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-19
0.6875347222222222,0.7186268592518593,0.8,whisper,54,27,27,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-19
0.6805902777777778,0.7089534770784771,0.7818750000000001,whisper,54,27,27,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-19
0.6461458333333334,0.6646552059052059,0.71625,whisper,54,27,27,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-19
0.6986111111111111,0.7226689282939283,0.7849999999999999,whisper,54,27,27,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-19
0.6456944444444445,0.6697777222777223,0.731875,whisper,54,27,27,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-19
0.649201388888889,0.6603454878454879,0.6875,whisper,54,27,27,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-19
0.6802430555555555,0.6971268315018315,0.73875,whisper,54,27,27,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-19
0.6935763888888888,0.6980509074259075,0.7425,whisper,54,27,27,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-19
0.6522916666666667,0.6628580447330447,0.7156250000000001,whisper,54,27,27,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-19
0.6753472222222223,0.6806859113109113,0.70625,whisper,54,27,27,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-19
0.7267013888888889,0.7418822843822843,0.794375,whisper,54,27,27,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-19
0.6703819444444443,0.6889044982794983,0.75125,whisper,54,27,27,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-19
0.7413541666666668,0.760802738927739,0.814375,whisper,54,27,27,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-19
0.7525694444444444,0.7742314629814631,0.8275000000000001,whisper,54,27,27,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-19
0.7621875,0.774064615939616,0.8175000000000001,whisper,54,27,27,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-19
0.45454545454545453,0.625,1.0,whisper,54,27,27,26,0.2,5,5,5,20,Sequential,model_layers=5
0.7330208333333333,0.7493106893106892,0.791875,whisper,54,27,27,7,0.2,5,5,5,1,Sequential,model_layers=5,experiment_2_date_2019-09-19
0.5986805555555555,0.5869864163614164,0.5900000000000001,whisper,54,27,27,7,0.2,5,5,5,1,Id3Estimator,None,experiment_2_date_2019-09-19
0.6625694444444444,0.640079365079365,0.624375,whisper,54,27,27,7,0.2,5,5,5,1,KNeighborsClassifier,None,experiment_2_date_2019-09-19
